Timestamp,Temperature (C),Humidity (%),Light Intensity,pH,Image Filename
20241014_181328,38.0,72.0,1,7.0,
20241014_181329,38.0,73.0,1,7.0,https://storage.googleapis.com/tesis-b3540.appspot.com/images/captured_image_20241014_181329.jpg
